"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
"NORTH EAST, Electricity, gas, steam and air conditioning supply ",35,x,22.95,,25.82,7.6,x,x,x,18.50,21.71,x,x,x,x,x,,,,,,,,
"NORTH EAST, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,8,19.88,41.9,22.64,20.6,x,13.98,14.35,14.90,16.33,20.54,x,x,x,x,,,,,,,,
"NORTH EAST, Water collection, treatment and supply ",36,x,20.47,,22.28,,x,x,x,15.80,19.81,21.95,x,x,x,x,,,,,,,,
"NORTH EAST, Sewerage ",37,..,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Waste collection, treatment and disposal activities; materials recovery ",38,x,17.79,,23.23,30.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Remediation activities and other waste management services ",39,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, CONSTRUCTION ",F,32,16.29,7.1,18.61,8.1,11.94,12.69,13.47,14.04,15.00,17.58,18.85,19.92,21.05,x,,,,,,,,
"NORTH EAST, Construction of buildings ",41,10,16.24,-8.5,21.31,7.5,x,12.36,13.64,13.96,15.00,19.39,x,x,x,x,,,,,,,,
"NORTH EAST, Civil engineering ",42,x,17.45,14.9,19.21,5.7,x,x,x,14.94,15.94,19.55,x,x,x,x,,,,,,,,
"NORTH EAST, Specialised construction activities ",43,17,15.87,16.6,16.92,9.1,11.45,12.52,12.99,13.73,14.54,17.00,18.02,18.45,18.76,x,,,,,,,,
"NORTH EAST, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,119,12.67,8.2,15.83,12.5,11.44,11.50,11.64,11.90,12.21,13.48,14.72,15.50,16.85,21.68,,,,,,,,
"NORTH EAST, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,15,14.75,13.4,16.13,10.5,11.46,11.98,12.18,12.47,13.42,15.99,17.16,17.98,19.43,x,,,,,,,,
"NORTH EAST, Wholesale trade, except of motor vehicles and motorcycles ",46,26,14.80,9.9,18.27,16.5,11.53,12.01,12.30,12.59,13.34,15.47,17.37,18.25,x,x,,,,,,,,
"NORTH EAST, Retail trade, except of motor vehicles and motorcycles ",47,77,12.25,9.7,14.63,11.3,11.42,11.44,11.50,11.62,12.00,12.66,13.42,13.93,14.54,x,,,,,,,,
"NORTH EAST, TRANSPORTATION AND STORAGE ",H,38,14.45,2.5,16.30,-4.1,11.93,12.55,12.86,13.38,14.01,14.94,16.09,17.33,18.12,x,,,,,,,,
"NORTH EAST, Land transport and transport via pipelines ",49,16,14.58,0.6,15.74,-0.4,11.91,12.65,13.28,13.57,14.27,15.01,16.00,16.32,17.66,x,,,,,,,,
"NORTH EAST, Water transport ",50,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Air transport ",51,x,12.40,,12.86,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Warehousing and support activities for transportation ",52,14,14.01,1.9,17.92,1.1,12.29,12.33,12.55,12.85,13.98,15.57,19.43,20.55,x,x,,,,,,,,
"NORTH EAST, Postal and courier activities ",53,7,14.44,2.7,14.82,3.4,x,12.75,13.73,13.95,14.29,14.46,14.94,15.38,x,x,,,,,,,,
"NORTH EAST, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,54,11.62,10.1,13.07,12.0,9.42,11.41,x,11.44,11.46,12.00,12.50,13.00,13.75,x,,,,,,,,
"NORTH EAST, Accommodation ",55,12,12.02,9.1,14.53,17.7,x,11.40,11.44,11.50,11.69,12.98,13.85,x,x,x,,,,,,,,
"NORTH EAST, Food and beverage service activities ",56,42,11.62,10.7,12.57,10.1,9.40,11.42,x,x,11.44,11.85,12.30,12.59,13.18,x,,,,,,,,
"NORTH EAST, INFORMATION AND COMMUNICATION ",J,34,20.51,11.4,23.97,11.0,12.30,14.00,15.23,16.72,18.26,23.35,26.58,28.11,30.42,x,,,,,,,,
"NORTH EAST, Publishing activities ",58,x,13.91,-10.4,16.38,1.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,x,,16.49,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Programming and broadcasting activities ",60,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Telecommunications ",61,13,18.25,3.4,20.66,7.5,12.30,13.39,14.26,15.59,16.86,19.82,20.74,23.08,x,x,,,,,,,,
"NORTH EAST, Computer programming, consultancy and related activities ",62,19,24.56,14.2,27.16,9.7,12.88,14.90,17.13,18.70,21.63,27.12,29.00,32.34,x,x,,,,,,,,
"NORTH EAST, Information service activities ",63,x,x,,20.10,21.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, FINANCIAL AND INSURANCE ACTIVITIES ",K,24,16.65,9.0,21.29,17.0,12.63,13.14,13.93,14.44,15.22,18.44,25.34,27.62,30.24,x,,,,,,,,
"NORTH EAST, Financial service activities, except insurance and pension funding ",64,17,17.17,12.5,22.24,26.8,12.80,13.43,14.10,14.49,15.76,19.54,25.60,29.19,x,x,,,,,,,,
"NORTH EAST, Insurance, reinsurance and pension funding, except compulsory social security ",65,x,x,,21.67,16.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Activities auxiliary to financial services and insurance activities ",66,6,14.93,-2.2,18.48,-1.6,x,12.61,12.83,12.95,14.83,x,x,x,x,x,,,,,,,,
"NORTH EAST, REAL ESTATE ACTIVITIES ",L,16,17.64,9.3,20.93,8.3,12.01,12.81,13.31,14.10,16.89,18.69,20.69,22.65,x,x,,,,,,,,
"NORTH EAST, Real estate activities ",68,16,17.64,9.3,20.93,8.3,12.01,12.81,13.31,14.10,16.89,18.69,20.69,22.65,x,x,,,,,,,,
"NORTH EAST, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,61,18.26,2.1,23.20,8.4,11.77,12.66,13.14,14.29,16.35,21.43,24.73,27.30,31.32,x,,,,,,,,
"NORTH EAST, Legal and accounting activities ",69,19,17.98,6.5,22.88,11.5,11.80,12.60,12.86,13.77,15.43,22.45,x,27.10,x,x,,,,,,,,
"NORTH EAST, Activities of head offices; management consultancy activities ",70,14,17.98,0.2,24.82,-0.7,11.52,12.35,12.59,13.77,15.33,21.32,24.87,31.46,x,x,,,,,,,,
"NORTH EAST, Architectural and engineering activities; technical testing and analysis ",71,13,18.60,6.3,22.52,12.9,12.12,13.54,14.77,15.07,16.55,21.44,25.75,x,x,x,,,,,,,,
"NORTH EAST, Scientific research and development ",72,x,21.62,-4.5,25.73,5.4,x,x,17.52,18.10,20.91,x,x,x,x,x,,,,,,,,
"NORTH EAST, Advertising and market research ",73,x,16.59,5.7,17.48,9.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Other professional, scientific and technical activities ",74,x,x,,23.61,28.2,x,x,x,x,13.69,x,x,x,x,x,,,,,,,,
"NORTH EAST, Veterinary activities ",75,x,x,,18.54,4.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,42,12.86,7.1,16.74,15.0,11.44,11.55,11.80,11.97,12.27,14.09,15.39,16.24,17.92,x,,,,,,,,
"NORTH EAST, Rental and leasing activities ",77,6,14.48,4.7,17.62,3.9,x,11.98,12.10,12.37,13.02,15.18,x,x,x,x,,,,,,,,
"NORTH EAST, Employment activities ",78,10,13.61,8.9,16.74,11.2,11.44,11.94,12.14,12.65,13.19,15.21,x,x,x,x,,,,,,,,
"NORTH EAST, Travel agency, tour operator and other reservation service and related activities ",79,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Security and investigation activities ",80,x,12.15,4.5,13.33,-0.6,x,x,11.75,11.85,12.06,12.53,12.81,x,x,x,,,,,,,,
"NORTH EAST, Services to buildings and landscape activities ",81,11,12.10,11.5,16.16,26.1,11.34,x,11.44,11.49,11.85,12.69,13.45,x,x,x,,,,,,,,
"NORTH EAST, Office administrative, office support and other business support activities ",82,10,12.50,4.2,16.48,14.2,11.44,11.50,11.70,11.81,12.09,13.36,14.69,x,x,x,,,,,,,,
"NORTH EAST, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,121,16.65,9.0,19.01,7.9,12.60,13.05,13.67,14.45,15.28,18.50,20.88,22.11,23.06,27.94,,,,,,,,
"NORTH EAST, Public administration and defence; compulsory social security ",84,121,16.65,9.0,19.01,7.9,12.60,13.05,13.67,14.45,15.28,18.50,20.88,22.11,23.06,27.94,,,,,,,,
"NORTH EAST, EDUCATION ",P,87,18.13,9.3,20.75,5.4,11.98,12.79,13.63,14.20,16.03,19.89,24.02,25.45,26.76,x,,,,,,,,
"NORTH EAST, Education ",85,87,18.13,9.3,20.75,5.4,11.98,12.79,13.63,14.20,16.03,19.89,24.02,25.45,26.76,x,,,,,,,,
"NORTH EAST, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,176,14.97,1.1,18.16,1.8,11.52,12.14,12.45,12.79,13.93,17.51,19.57,21.46,22.39,26.02,,,,,,,,
"NORTH EAST, Human health activities ",86,113,17.99,4.4,20.00,1.4,11.73,12.85,13.80,14.12,16.05,19.78,22.22,23.12,24.29,x,,,,,,,,
"NORTH EAST, Residential care activities ",87,29,12.25,6.5,13.34,5.2,11.10,11.44,11.56,11.83,12.01,12.50,13.05,13.39,14.03,x,,,,,,,,
"NORTH EAST, Social work activities without accommodation ",88,33,13.73,10.3,16.07,12.9,11.52,12.00,12.35,12.55,13.09,14.48,15.80,16.46,17.54,x,,,,,,,,
"NORTH EAST, ARTS, ENTERTAINMENT AND RECREATION ",R,19,12.53,4.0,14.70,2.7,10.43,11.44,11.55,11.75,12.00,13.14,14.40,14.99,15.47,x,,,,,,,,
"NORTH EAST, Creative, arts and entertainment activities ",90,x,13.57,21.4,15.94,19.5,x,x,x,x,x,14.18,x,x,x,x,,,,,,,,
"NORTH EAST, Libraries, archives, museums and other cultural activities ",91,x,12.66,2.6,14.19,-0.8,x,x,x,11.74,12.00,13.09,x,x,x,x,,,,,,,,
"NORTH EAST, Gambling and betting activities ",92,x,12.14,-8.5,18.40,15.5,x,x,x,x,11.89,x,x,x,x,x,,,,,,,,
"NORTH EAST, Sports activities and amusement and recreation activities ",93,11,12.50,6.9,13.62,0.1,8.32,11.44,x,11.54,11.95,12.91,14.39,x,x,x,,,,,,,,
"NORTH EAST, OTHER SERVICE ACTIVITIES ",S,16,13.05,2.1,18.69,9.1,11.44,11.53,11.65,11.96,12.43,14.72,17.07,x,x,x,,,,,,,,
"NORTH EAST, Activities of membership organisations ",94,10,15.07,12.4,21.39,9.7,x,12.00,12.10,12.39,12.86,17.03,x,x,x,x,,,,,,,,
"NORTH EAST, Repair of computers and personal and household goods ",95,x,11.96,,12.44,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Other personal service activities ",96,5,11.67,2.6,14.04,18.8,x,x,x,11.44,11.55,12.50,x,x,x,x,,,,,,,,
"NORTH EAST, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,x,12.32,11.7,17.20,45.8,x,x,x,x,12.00,x,x,x,x,x,,,,,,,,
"NORTH EAST, Activities of households as employers of domestic personnel ",97,x,12.32,11.7,17.20,45.8,x,x,x,x,12.00,x,x,x,x,x,,,,,,,,
"NORTH EAST, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Activities of extraterritorial organisations and bodies ",99,:,,,,,,,,,,,,,,,,,,,,,,
North West All Industries and Services,,"2,963",16.29,7.5,20.31,7.9,11.55,12.31,12.76,13.24,14.55,18.65,21.60,23.25,25.51,32.12,,,,,,,,
North West All Index of Production Industries,,333,18.83,6.1,21.27,4.6,12.26,13.46,14.18,14.94,16.88,21.18,23.89,25.52,27.45,33.27,,,,,,,,
North West All Manufacturing,,297,18.66,4.9,21.21,4.1,12.17,13.38,14.08,14.85,16.79,21.08,23.78,25.46,27.35,33.27,,,,,,,,
North West All Service Industries,,"2,515",15.78,6.8,20.11,8.3,11.51,12.18,12.57,13.02,14.28,18.15,21.06,22.79,25.04,31.83,,,,,,,,
"NORTH WEST, AGRICULTURE, FORESTRY AND FISHING ",A,10,13.17,9.8,15.94,9.9,11.44,11.57,11.76,12.00,12.62,13.68,x,x,x,x,,,,,,,,
"NORTH WEST, Crop and animal production, hunting and related service activities ",1,9,13.37,11.6,16.13,9.9,x,11.50,11.78,12.00,12.95,14.29,x,x,x,x,,,,,,,,
"NORTH WEST, Forestry and logging ",2,x,12.09,2.9,13.72,13.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Fishing and aquaculture ",3,..,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, MINING AND QUARRYING ",B,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, Extraction of crude petroleum and natural gas ",6,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, Other mining and quarrying ",8,x,22.73,13.0,23.15,17.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Mining support service activities ",9,..,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, MANUFACTURING ",C,297,18.66,4.9,21.21,4.1,12.17,13.38,14.08,14.85,16.79,21.08,23.78,25.46,27.35,33.27,,,,,,,,
"NORTH WEST, Manufacture of food products ",10,46,14.64,2.0,17.73,2.5,11.58,12.26,12.60,12.91,13.79,15.77,17.75,19.19,21.72,x,,,,,,,,
"NORTH WEST, Manufacture of beverages ",11,x,x,,20.66,0.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, Manufacture of textiles ",13,7,14.02,-2.6,19.29,7.0,x,x,11.78,12.09,13.18,16.38,18.43,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of wearing apparel ",14,x,12.16,-5.2,13.44,2.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of leather and related products ",15,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,x,12.98,-6.6,14.22,-1.9,x,x,x,12.06,12.62,14.02,x,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of paper and paper products ",17,8,17.32,-2.7,18.98,-2.0,x,13.51,14.36,14.91,16.54,18.30,20.35,x,x,x,,,,,,,,
"NORTH WEST, Printing and reproduction of recorded media ",18,x,14.43,10.4,17.71,15.8,x,x,12.41,12.80,13.33,17.09,x,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of coke and refined petroleum products ",19,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of chemicals and chemical products ",20,15,21.03,6.7,22.68,4.0,11.84,13.59,14.15,15.46,18.30,23.50,26.66,27.41,x,x,,,,,,,,
"NORTH WEST, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,11,24.68,34.1,28.08,32.6,14.21,17.59,18.20,18.62,21.08,26.51,x,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of rubber and plastic products ",22,22,16.00,6.8,18.41,5.2,11.82,12.78,13.04,13.49,14.81,17.77,20.37,21.34,22.38,x,,,,,,,,
"NORTH WEST, Manufacture of other non-metallic mineral products ",23,6,16.92,1.1,18.42,-5.7,x,12.52,13.42,14.46,15.84,17.65,20.31,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of basic metals ",24,24,31.26,10.3,29.11,2.7,15.18,20.56,21.09,23.39,26.58,32.32,33.70,35.07,37.34,x,,,,,,,,
"NORTH WEST, Manufacture of fabricated metal products, except machinery and equipment ",25,25,17.08,7.3,18.71,6.1,12.43,13.04,13.77,14.32,15.66,17.93,20.21,21.88,23.79,x,,,,,,,,
"NORTH WEST, Manufacture of computer, electronic and optical products ",26,13,20.74,5.8,22.51,0.8,13.16,14.90,15.95,16.45,18.10,22.96,24.11,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of electrical equipment ",27,9,19.48,1.1,24.60,2.5,x,13.17,13.34,14.62,16.53,24.28,x,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of machinery and equipment n.e.c. ",28,18,18.71,13.5,21.05,4.1,12.34,13.31,14.04,14.98,16.75,19.79,21.29,x,x,x,,,,,,,,
"NORTH WEST, Manufacture of motor vehicles, trailers and semi-trailers ",29,14,17.86,-1.8,19.33,-4.0,12.85,13.87,14.63,15.63,16.59,19.74,21.67,23.05,x,x,,,,,,,,
"NORTH WEST, Manufacture of other transport equipment ",30,44,22.93,-10.3,24.25,-5.8,16.68,18.14,19.35,20.43,21.54,24.33,26.47,27.76,28.98,x,,,,,,,,
"NORTH WEST, Manufacture of furniture ",31,9,14.76,5.4,15.69,6.0,x,12.30,12.44,12.86,13.89,15.15,15.47,17.45,x,x,,,,,,,,
"NORTH WEST, Other manufacturing ",32,6,16.34,24.1,20.91,32.9,x,13.30,x,13.73,14.63,18.28,x,x,x,x,,,,,,,,
"NORTH WEST, Repair and installation of machinery and equipment ",33,8,20.21,22.4,21.13,13.9,x,13.77,13.95,15.97,17.53,22.26,23.71,x,x,x,,,,,,,,
"NORTH WEST, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,10,21.08,6.5,24.92,6.7,12.73,15.25,16.48,18.61,20.19,23.81,29.28,x,x,x,,,,,,,,
"NORTH WEST, Electricity, gas, steam and air conditioning supply ",35,10,21.08,6.5,24.92,6.7,12.73,15.25,16.48,18.61,20.19,23.81,29.28,x,x,x,,,,,,,,
"NORTH WEST, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,25,18.25,11.4,20.12,10.7,12.56,14.20,14.78,15.14,16.61,20.57,22.92,24.34,26.13,x,,,,,,,,
"NORTH WEST, Water collection, treatment and supply ",36,10,21.48,13.2,21.79,9.7,13.35,16.42,17.24,17.62,19.89,22.72,24.90,25.87,x,x,,,,,,,,
"NORTH WEST, Sewerage ",37,x,16.52,21.6,18.80,16.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Waste collection, treatment and disposal activities; materials recovery ",38,14,16.09,7.6,19.18,9.8,12.44,13.20,13.70,14.54,15.02,17.73,20.54,21.99,x,x,,,,,,,,
"NORTH WEST, Remediation activities and other waste management services ",39,..,,,,,,,,,,,,,,,,,,,,,,
"NORTH WEST, CONSTRUCTION ",F,106,18.35,7.9,21.62,9.8,11.56,13.20,14.05,14.95,16.39,20.65,23.64,25.30,27.84,x,,,,,,,,
"NORTH WEST, Construction of buildings ",41,32,20.76,7.9,24.43,11.4,11.50,13.20,14.50,15.62,18.26,24.60,27.31,29.70,31.77,x,,,,,,,,
"NORTH WEST, Civil engineering ",42,17,20.71,24.2,22.83,26.8,12.88,14.37,15.34,15.97,17.91,22.99,24.94,26.67,x,x,,,,,,,,
"NORTH WEST, Specialised construction activities ",43,57,17.19,2.8,19.66,3.2,11.52,12.64,13.60,14.38,15.67,18.84,21.02,22.60,23.98,x,,,,,,,,
"NORTH WEST, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,399,13.33,6.6,17.54,8.2,11.44,11.55,11.83,12.00,12.53,14.50,16.49,17.81,19.49,25.78,,,,,,,,
"NORTH WEST, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,49,14.30,8.3,19.18,8.9,11.44,11.56,11.96,12.25,13.21,15.42,16.86,17.53,18.58,x,,,,,,,,
"NORTH WEST, Wholesale trade, except of motor vehicles and motorcycles ",46,119,16.37,6.5,19.39,6.4,11.90,12.59,13.01,13.53,14.86,18.42,20.81,22.31,24.56,30.63,,,,,,,,
"NORTH WEST, Retail trade, except of motor vehicles and motorcycles ",47,232,12.46,7.8,15.87,7.9,11.37,11.45,11.54,11.66,12.00,13.03,14.11,14.98,16.30,21.95,,,,,,,,
"NORTH WEST, TRANSPORTATION AND STORAGE ",H,109,15.60,5.8,17.92,1.4,12.25,13.01,13.50,14.05,14.69,16.61,18.62,19.87,21.76,26.42,,,,,,,,
"NORTH WEST, Land transport and transport via pipelines ",49,38,15.35,6.0,17.11,-1.7,12.46,13.09,13.46,13.99,14.78,16.39,17.86,19.07,20.27,x,,,,,,,,
"NORTH WEST, Water transport ",50,x,x,,22.53,34.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Air transport ",51,x,13.68,,18.63,-17.0,x,x,x,12.55,13.17,x,x,x,x,x,,,,,,,,
"NORTH WEST, Warehousing and support activities for transportation ",52,43,16.14,2.2,19.33,3.9,12.14,12.78,13.48,14.08,15.18,17.85,21.32,23.08,25.14,x,,,,,,,,
"NORTH WEST, Postal and courier activities ",53,23,14.70,2.6,16.50,3.0,12.55,13.75,14.11,14.31,14.45,16.01,17.15,18.06,18.62,x,,,,,,,,
"NORTH WEST, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,166,11.92,10.1,14.18,10.1,9.50,x,x,11.44,11.60,12.28,13.00,13.65,14.54,16.81,,,,,,,,
"NORTH WEST, Accommodation ",55,41,12.43,8.4,15.54,6.5,11.41,11.50,11.60,11.75,12.01,13.03,14.10,14.97,15.47,x,,,,,,,,
"NORTH WEST, Food and beverage service activities ",56,125,11.70,10.4,13.66,12.1,9.00,11.43,x,11.44,11.50,12.00,12.72,13.29,14.08,16.62,,,,,,,,
"NORTH WEST, INFORMATION AND COMMUNICATION ",J,97,20.85,4.8,24.59,8.0,13.07,14.96,15.94,17.02,19.29,23.91,26.90,29.38,32.42,x,,,,,,,,
"NORTH WEST, Publishing activities ",58,8,18.68,7.9,22.59,3.7,x,x,15.41,15.70,16.94,x,x,x,x,x,,,,,,,,
"NORTH WEST, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,15.01,,20.73,8.7,x,x,x,x,13.08,x,x,x,x,x,,,,,,,,
"NORTH WEST, Programming and broadcasting activities ",60,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, Telecommunications ",61,20,20.38,10.6,21.90,10.6,12.80,14.08,15.63,16.84,19.17,22.74,24.55,26.44,28.97,x,,,,,,,,
"NORTH WEST, Computer programming, consultancy and related activities ",62,62,22.42,7.8,25.51,6.9,13.38,15.44,16.74,18.02,19.98,24.86,28.97,31.55,34.85,x,,,,,,,,
"NORTH WEST, Information service activities ",63,x,x,,24.41,-4.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH WEST, FINANCIAL AND INSURANCE ACTIVITIES ",K,108,20.31,12.7,26.57,14.5,13.14,14.76,15.50,16.30,18.16,23.10,26.55,29.67,32.86,x,,,,,,,,
"NORTH WEST, Financial service activities, except insurance and pension funding ",64,69,21.24,7.7,26.00,7.7,13.22,15.50,16.28,16.86,18.75,24.05,26.41,29.19,32.99,x,,,,,,,,
"NORTH WEST, Insurance, reinsurance and pension funding, except compulsory social security ",65,7,16.70,9.9,21.24,3.4,x,13.53,13.93,14.37,14.95,20.69,x,x,x,x,,,,,,,,
"NORTH WEST, Activities auxiliary to financial services and insurance activities ",66,32,18.44,11.1,28.92,30.9,12.88,13.83,14.84,15.23,16.61,21.48,28.05,31.74,x,x,,,,,,,,
"NORTH WEST, REAL ESTATE ACTIVITIES ",L,44,16.25,4.9,18.19,3.5,11.96,12.81,13.40,13.83,14.80,17.39,19.01,19.89,21.36,x,,,,,,,,
"NORTH WEST, Real estate activities ",68,44,16.25,4.9,18.19,3.5,11.96,12.81,13.40,13.83,14.80,17.39,19.01,19.89,21.36,x,,,,,,,,
"NORTH WEST, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,219,19.65,5.1,23.80,5.9,12.08,13.40,14.07,15.00,16.87,22.53,25.65,27.70,30.53,40.18,,,,,,,,
"NORTH WEST, Legal and accounting activities ",69,75,18.03,8.2,24.04,11.5,12.00,12.92,13.33,13.91,15.75,21.41,25.38,29.07,32.25,x,,,,,,,,
"NORTH WEST, Activities of head offices; management consultancy activities ",70,44,19.42,-6.0,23.77,-4.6,12.00,13.18,13.81,14.72,16.86,21.94,24.76,25.94,28.23,x,,,,,,,,
"NORTH WEST, Architectural and engineering activities; technical testing and analysis ",71,57,22.80,8.9,24.39,6.0,13.36,15.02,15.80,17.07,20.46,25.00,27.12,29.30,31.14,x,,,,,,,,
"NORTH WEST, Scientific research and development ",72,7,21.31,,28.37,2.6,x,x,16.54,17.35,20.45,27.10,x,x,x,x,,,,,,,,
"NORTH WEST, Advertising and market research ",73,12,20.41,7.0,22.35,12.0,x,14.08,14.37,15.33,18.25,21.93,23.31,x,x,x,,,,,,,,
"NORTH WEST, Other professional, scientific and technical activities ",74,18,18.00,11.6,23.10,12.2,11.91,13.04,13.95,14.51,16.36,19.02,x,x,x,x,,,,,,,,
"NORTH WEST, Veterinary activities ",75,7,13.32,8.1,15.75,4.9,x,11.79,12.02,12.15,12.62,x,x,x,x,x,,,,,,,,
"NORTH WEST, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,163,14.07,8.4,18.27,13.4,11.44,11.91,12.07,12.46,13.08,15.64,18.89,20.30,22.50,29.11,,,,,,,,
"NORTH WEST, Rental and leasing activities ",77,17,14.45,1.4,17.81,7.8,11.65,12.04,12.47,12.66,13.41,15.79,19.11,20.06,x,x,,,,,,,,
"NORTH WEST, Employment activities ",78,49,14.72,8.9,18.98,16.9,11.44,12.10,12.50,12.84,13.82,16.88,20.25,22.23,23.66,x,,,,,,,,
"NORTH WEST, Travel agency, tour operator and other reservation service and related activities ",79,9,19.11,43.2,20.75,7.3,x,13.03,13.22,13.52,15.39,20.00,23.92,x,x,x,,,,,,,,
"NORTH WEST, Security and investigation activities ",80,10,12.97,11.3,14.04,12.0,11.44,11.75,11.88,12.00,12.22,13.37,14.17,14.49,x,x,,,,,,,,
"NORTH WEST, Services to buildings and landscape activities ",81,33,12.00,7.0,15.22,10.7,x,11.44,11.46,11.50,11.81,12.75,13.43,14.10,15.44,x,,,,,,,,
"NORTH WEST, Office administrative, office support and other business support activities ",82,45,15.86,10.2,19.95,10.5,11.82,12.48,12.82,13.06,14.33,18.19,21.45,23.30,26.02,x,,,,,,,,
"NORTH WEST, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,155,17.95,11.1,20.01,8.1,12.99,13.98,14.48,15.06,15.65,19.61,22.19,23.33,25.09,29.52,,,,,,,,
"NORTH WEST, Public administration and defence; compulsory social security ",84,155,17.95,11.1,20.01,8.1,12.99,13.98,14.48,15.06,15.65,19.61,22.19,23.33,25.09,29.52,,,,,,,,
"NORTH WEST, EDUCATION ",P,410,19.39,7.2,22.29,8.6,12.23,13.28,13.89,14.79,17.06,21.95,25.35,27.40,29.40,35.55,,,,,,,,
